post_id,회사명,공고제목,정답_라벨,예측_라벨,skill_text_요약
312330.0,넥스트증권,Backend Developer(추천시스템), 생성형AI엔지니어링,인공지능서비스구현,"[주요업무] 주요업무 - AI 기반 신사업 서비스의 추천 시스템 설계 개발 운영 합니다. - 멀티모달 모델 추론 최적화(지연 시간, 메모리, 비용 관리)를 진행하고 추천 시스템에 적용합니다. - 대규모 사용자 트래픽 대응을 위한 스케일링 로드밸런싱을 고려하여 아키텍처/인프라를 개선하고 확장합니다. [자격요건] - 5년 이상의 백엔드 엔지니어링 경력 - 추천..."
343683.0,한국에이아이랩,AI 모델링/개발 리드 (LLM & Data Engineer),인공지능학습데이터,인공지능플랫폼구축,[주요업무] RAG 파이프라인 구축 수많은 건설 관련 문서(PDF/HWP)를 벡터화해서 LLM이 근거 있는 답변을 하도록 만듭니다. 데이터 전처리 엉망인 원본 데이터를 AI가 학습하기 좋은 깔끔한 포맷으로 바꾸는 파이프라인을 짭니다. 백엔드 API 개발 개발한 AI 모델을 서비스화하기 위해 FastAPI 등으로 가벼운 API 서버를 구축합니다. [자격요건]...
336897.0,피처링(FeaturingCorp.),[R&D 파트] AI 리서치 엔지니어, 생성형AI엔지니어링,생성형AI엔지니어링,"[주요업무] 소셜 미디어 데이터 기반의 생성형 AI 모델을 연구 개발 및 고도화하고, 파인튜닝과 최신 기술 도입을 통해 다양한 마케팅 콘텐츠 생성 기능을 실현하는 R D 업무를 맡아주실 거예요 1. 소셜 미디어 인플루언서 데이터 기반 콘텐츠 생성 AI 연구 개발 2. 생성형 AI를 활용한 데이터 분석, 마케팅 전략, 썸네일, 트렌드 리포트 생성 3. 생성 ..."
344195.0,더게임,MLOps 엔지니어,인공지능플랫폼구축,인공지능서비스운영관리,"[주요업무] MLOps Engineer AI 모델이 끊기지 않고 안정적으로 돌아가게 만드는 역할입니다. STT 번역 등 AI 모델의 서빙 배포 운영 파이프라인 설계 모델 버전 관리, 배포 전략, 롤백 구조 설계 컨테이너 기반 세션 격리 및 리소스 관리 실시간 추론 환경에서의 성능 지연 안정성 최적화 로그 메트릭 모니터링을 통한 모델 상태 관리 모델 업데이트..."
313220.0,업스테이지,AI Tech Data Manager,인공지능학습데이터,인공지능학습데이터구축,"[주요업무] AI 모델 개발을 위한 데이터 수집, 분석, 가공, 평가, 관리 전반의 프로젝트 운영 최신 AI 모델 개발 흐름을 바탕으로 한 창의적인 벤치마크 설계 및 학습 데이터 구축 AI 모델을 활용한 텍스트 및 이미지 데이터 증강부터 Human Feedback Loop까지 신규 데이터셋 구축을 위한 유기적인 데이터 제작 파이프라인 설계와 실행 고품질 데..."
332187.0,아날로그에이아이,인공지능 알고리듬 (AI Algorithm) 엔지니어, 생성형AI엔지니어링,인공지능모델링,"[주요업무] 주요업무 아날로그 하드웨어 특화 학습 알고리즘 연구 아날로그 하드웨어의 특성을 고려한 학습 알고리즘 및 최적화 알고리즘 적용 및 최적화 최신 모델 아키텍처 적용 Transformer, LLM 등 최신 AI 모델을 아날로그 인메모리 컴퓨팅 구조에 맞게 매핑하고 성능 최적화 AI 모델 최적화 및 경량화 하드웨어 제약 조건을 고려한 모델 연구 및 적..."
345379.0,현대캐피탈,AI Platform Engineer,인공지능서비스운영관리,인공지능플랫폼구축,"[주요업무] AI Agent 개발/ 서빙을 위한 AI 플랫폼 인프라 설계 및 운영 Agent 기반 서비스의 LLM Ops 최적화 (성능모니터링 및 문제해결, GPU 리소스 최적화 등) 운영 자동화 및 도구의 도입과 데이터관리 및 버전 관리(보안 및 거버넌스) LLM 모델 운영 프로세스 분석 및 개선 AI Agent 및 LLM Ops 관련 최신 기술 트렌드 ..."
340700.0,코웨이,IT개발(Back-end) 6~10년, 생성형AI엔지니어링,인공지능플랫폼구축,[주요업무] B2B/B2C 플랫폼 서비스 구축/운영 DX(Digital Transformation) 업무 시스템 구축/운영 AX(AI Transformation) 업무 시스템 구축/운영 국내/외 신사업 프로젝트 지원 AWS/GCP 등 퍼블릭 클라우드 활용하여 서비스 구축/운영 [자격요건] 6년 10년 Back-end Java 개발 경험자 Spring-boo...
322026.0,제트,AI Product Engineer,인공지능서비스구현,인공지능플랫폼구축,"[주요업무] 다양한 Saas 툴, AI API를 연동하여, 광고 제작 시스템을 구축합니다. 재사용 가능한 내부 도구 및 서비스 개발을 통해 팀 생산성 극대화 [자격요건] 경력 최소 2년 대학교졸업(4년)이상, 졸업 예정자 지원가능 석사 학위나 경력 무관. 모델 개발은 몰라도 활용엔 자신있다 해도 지원가능합니다 ) 현재 팀이 사용하는 기술입니다. Langua..."
342381.0,핀포인트,AI 오퍼레이터(서비스 운영),인공지능서비스운영관리,인공지능서비스기획,"[주요업무] AI기술 리서치 및 PoC 수행 최신 AI 트렌드 및 기술을 조사하고, 서비스 적용 가능성을 검토하기 위한 프로토타입을 빠르게 개발합니다. 프롬프트 엔지니어링 및 최적화 AI 서비스의 답변 품질 향상을 위해 인스트럭션을 설계하고 프롬프트를 지속적으로 고도화합니다. AI 지식베이스(Knowledge Base) 구축 서비스 운영에 필요한 데이터셋을..."
