번호,검색키워드,회사명,공고제목,직무내용,주요업무,자격요건,우대사항,요구스킬,접수시작일,url
1, LLM 개발 | 멀티모달 aI,엘지유플러스,[CTO] AI Scientist_음성인식/합성 경력채용,"- 음성 AI 핵심 기술(STT, TTS, 화자인식, 음성향상) 선행 연구 및 기술 검증
- 실시간 대화 환경을 고려한 음성 AI 모델 구조 및 추론 방식 연구
- 저지연·경량화·응답 안정성을 중심으로 한 음성 AI 기술 방향성 연구
- End-to-End Speech LLM 및 음성·멀티모달 파운데이션 모델 구조 연구
- 음성 신호 기반 이벤트 검출 기술(Sound Event Detection) 연구
- 대규모 음성·멀티모달 데이터 활용 전략 수립 및 연구 결과 공유 기술 문서, 리포트, 내부 세미나를 통한 연구 결과 공유","- 음성 AI 핵심 기술(STT, TTS, 화자인식, 음성향상) 선행 연구 및 기술 검증
- 실시간 대화 환경을 고려한 음성 AI 모델 구조 및 추론 방식 연구
- 저지연·경량화·응답 안정성을 중심으로 한 음성 AI 기술 방향성 연구
- End-to-End Speech LLM 및 음성·멀티모달 파운데이션 모델 구조 연구
- 음성 신호 기반 이벤트 검출 기술(Sound Event Detection) 연구
- 대규모 음성·멀티모달 데이터 활용 전략 수립 및 연구 결과 공유 기술 문서, 리포트, 내부 세미나를 통한 연구 결과 공유","[전공]
- 인공지능 관련 전공

[필수 사항]
- 석사 이상
- 관련 직무 경력 2년 이상
석사~박사

경력
(24)개월",,,2026.02.05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=152033&infoTypeCd=OEW&infoTypeGroup=tb_workinfoopen
2, LLM 개발 | 멀티모달 aI,넥스트증권,Backend Developer(추천시스템),"직무내용
직무 Summary
넥스트증권과 ​함께 ​성장할 ​Backend Engineer ​- 추천시스템 (경력) 담당자를 ​모집합니다. ​전에 없던 ​새로운 AI 기반의 ​금융 리테일·미디어 ​서비스의 ​추천 시스템 ​백엔드를 ​설계, ​개발하고 운영합니다.","주요업무
- AI ​기반 신사업 서비스의 ​추천 ​시스템 ​설계·개발·운영 합니다.
- 멀티모달 모델 ​추론 최적화(지연 ​시간, ​메모리, 비용 ​관리)를 진행하고 ​추천 ​시스템에 적용합니다.
- 대규모 사용자 ​트래픽 대응을 ​위한 스케일링·로드밸런싱을 고려하여 아키텍처/인프라를 개선하고 확장합니다.","- 5년 이상의 백엔드 엔지니어링 경력
- 추천 시스템 개발의 라이프사이클 전체에 익숙하신 분
- 대규모 ML 서빙 아키텍처 설계 및 운영 경험 (Kubernetes, Docker, Ray Serve 등)이 있으신 분
- 스스로 트레이드오프를 판단하여 의사결정 내리고 실행할 수 있는 분","- ML 기반 프로젝트를 바탕으로 실 서비스에서 비즈니스 임팩트를 만들어보신 분
- LLM 추론 최적화 경험 (Flash Attention, Quantization, TensorRT 등)이 있으신 분
- 금융 서비스 특화 SLA 관리 및 Latency/Throughput 최적화 경험이 있으신 분
- Datadog, Prometheus, Grafana 기반 MLOps/Observability 경험이 있으신 분
- 다음과 같은 추천 시스템의 각 컴포넌트에 대해 하나 이상의 깊은 이해도와 경험이 있으신 분
1) 데이터 인제스쳔, 로그 파이프라인
2) 피처 스토어 인프라 운영 관리
3) 모델 서빙 인프라 운영 관리
4) 실시간 추천 Retrieval 시스템
5) 랭킹/후처리 엔진
6) AB 테스트, 실험 플랫폼
7) 모니터링, 운영 자동화",,,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=312330&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
3, LLM 개발 | 멀티모달 aI,아날로그에이아이,인공지능 알고리듬 (AI Algorithm) 엔지니어,"[직무 소개]
• 포지션명: AI Algorithm Engineer
• 고용 형태: 정규직
• 경력: 무관 (신입, 경력 가능)
• 소속: Algorithm 개발팀
• ADP Program 신청 가능

* ADP Program이란?
AnalogAI Advanced Degree Partnership Program (ADP Program)은 재직 중인 직원이 회사 업무와 병행하며 석사/박사 학위를 취득할 수 있는 특별한 기회입니다.
","주요업무
• 아날로그 하드웨어 특화 학습 알고리즘 연구: 아날로그 하드웨어의 특성을 고려한 학습 알고리즘 및 최적화 알고리즘 적용 및 최적화
• 최신 모델 아키텍처 적용: Transformer, LLM 등 최신 AI 모델을 아날로그 인메모리 컴퓨팅 구조에 맞게 매핑하고 성능 최적화
• AI 모델 최적화 및 경량화: 하드웨어 제약 조건을 고려한 모델 연구 및 적용
• H/W-S/W Co-design 참여: 하드웨어 설계 팀과 협업하여 아날로그 가속기 아키텍처에 최적화된 알고리즘 요구사항 도출 및 검증","자격요건
• 이공계 전공: 컴퓨터공학, 전기/전자공학, 반도체 등 관련 분야 학사 이상
• 기술 이해도: 딥러닝 프레임워크(PyTorch, TensorFlow 중 하나 이상) 활용 능력 및 최신 신경망 구조(Transformer 등)에 대한 깊은 이해
• 프로그래밍 역량: Python 및 C/C++ 기반의 알고리즘 구현 및 데이터 구조 활용 능력
• 수학적 기반: 최적화 알고리즘 및 통계 등 알고리즘 설계를 위한 탄탄한 수학적 기초","우대사항
• 아날로그 하드웨어 가속기 기반의 학습/추론 알고리즘 연구 경험
• 반도체 소자 및 물리적 특성에 대한 기초 지식
• LLM 경량화 및 온디바이스 추론 최적화 프로젝트 경험
• Cuda 프로그래밍 또는 고성능 컴퓨팅(HPC) 관련 경험",,2026.01.01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=332187&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
4, LLM 개발 | 멀티모달 aI,페이브먼트,셀레트립 서비스 Back-End 백엔드 개발자,"우리는 팬덤이 현실 공간을 경험하는 방식을 바꿉니다.

페이브먼트는 K-POP, K-DRAMA 팬들이 아티스트가 다녀간 장소를 직접 방문하고,
공연을 즐기고, 아티스트의 음성 콘텐츠를 통해 공간을 체험할 수 있도록 만든
한류 팬 경험 플랫폼 ‘셀레트립’ 을 운영하고 있습니다.

관광, 공연, 팝업, 전시 등의 오프라인 경험을 위치 기반 아티스트 음성 콘텐츠와 연결해
팬들이 콘텐츠를 ‘보는 것’을 넘어 현실에서 따라가고 체험하는 경험으로 확장합니다.

셀레트립은 글로벌 팬들이 한국은 물론 각국의 다양한 공간을 방문하며
팬 활동을 여행과 결합해 경험할 수 있도록 서비스를 지속적으로 운영해오고 있습니다.","• 셀레트립 모바일 앱 및 운영/관리용 백오피스 시스템 API 설계·구현·운영
• 사용자 위치·행동 데이터를 기반으로 한 장소 추천·탐색·개인화 로직 설계 및 API 개발
• AWS 환경(EC2, ECR, SQS 등)에서의 서비스 배포, 운영, 장애 대응 및 인프라 안정성 개선
• LLM 기반 Voice Cloning / AI 음성 콘텐츠 결과물을 안정적으로 제공하기 위한 백엔드 • 파이프라인 설계 및 구현
• 비즈니스 요구사항을 기반으로 한 도메인 모델링, 데이터 모델 설계 및 쿼리 최적화
• 서비스 모니터링 도구(Prometheus, Grafana 등)를 활용한 시스템 상태 관찰 및 성능 이슈 분석·개선

[확장 및 고도화 업무]
• 모바일·웹·외부 플랫폼을 통합하는 OAuth2 / OIDC 기반 SSO 인증 흐름 설계 및 백엔드 구현
• 트래픽 증가 및 글로벌 유저 대응을 고려한 확장 가능한 API 구조 설계 및 성능 개선
• 메시지 큐(SQS) 및 이벤트 기반 아키텍처를 활용한 비동기 처리 로직 설계 및 운영
• 신규 비지니스 요구사항을 기술적으로 구체화하고 구현 방향 제안","• 경력 3년 혹은 그에 준하는 Java Spring Boot 기반 백엔드 개발 경험
• PostgreSQL과 같은 RDBMS를 운영하고 적절한 쿼리를 작성할 수 있으신 분
• Redis를 활용한 캐시 저장소 구축과 분산 락 개발 경험이 있으신 분
• Docker 기반 컨테이너 환경을 구축한 경험이 있으신 분
• AWS 활용한 인프라 구축 경험이 있으신 분
• Github Actions 기반 CI/CD 파이프라인 설계 경험","• K-POP 및 엔터테인먼트 산업에 대한 관심이 있으신 분
• TTS(Text-to-Speech) 알고리즘 또는 음성 관련 개발 경험
• E-Commerce 시스템 개발 경험이 있으신 분
• 메시지 큐와 이벤트 기반 비동기 처리 로직을 구현해보신 분
• 정량적인 데이터를 바탕으로 문제점을 분석하고 서비스 성능을 개선해보신 분
• 테스트 코드를 통해 본인이 작성한 코드를 검증해보신 분","Backend: Java, Spring Boot
Database: PostgreSQL, Redis
Infra/DevOps: AWS(EC2, ECR, SQS), Docker, NGINX
Observability: Prometheus, Grafana, Loki
CI/CD: GitHub Actions
Communication: OpenFeign, gRPC",,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=334330&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
5, LLM 개발 | 멀티모달 aI,이지케어텍,AI Engineer 1년 이상 (석/박사) 전문연구요원,"이지케어텍은 혁신적인 의료 IT 솔루션을 제공하는 선도적인 기업으로, 의료 현장에서의 효율성을 극대화하고자 합니다.
1. 의료 IT 솔루션의 선두주자로서, 다양한 병원과 의료 기관에 맞춤형 솔루션을 제공합니다.
2. 최신 기술을 활용하여 의료 데이터의 안전성과 효율성을 보장합니다.
3. 글로벌 시장에서도 인정받는 품질과 신뢰성을 자랑합니다.
이번에 모집하는 AI Engineer 경력직은 전문연구요원으로서 LLM을 활용한 연구 개발과 예측 모델 및 AI 서비스 개발을 담당하게 됩니다. 이지케어텍과 함께 혁신적인 의료 IT 솔루션을 만들어 나갈 인재를 기다립니다.","• LLM을 활용한 연구를 개발해요.
• 예측 모델 및 AI 서비스를 개발해요.
• 연구 과제 관리를 담당해요.","• 전문연구요원 채용으로 현역 '신입 지원' 가능 및 '전직' 가능
• 연구과제 제안 및 관리 경험 보유자
• 통계/머신러닝/딥러닝에 대한 전문지식 보유 및 관련 학과 졸업 (석사 이상)
• 머신러닝 프레임워크 사용 경험 (Tensorflow, Pytorch 등)
• 딥러닝 프레임워크 사용 경험 (HuggingFace, Pytorch 등)
• LLM을 이용한 프로젝트 또는 서비스 개발 경험
• (외국 국적자의 경우) 중급 이상의 한국어 구사 능력","• 대규모 연구과제 책임자 역할 경험자
• 데이터처리 및 전처리 경험자 (대규모 텍스트데이터, 영상데이터, 음성데이터 등)
• 모델 개발 경험자
• 특정 문제 해결을 위한 Language Model Fine Tuning 경험자
• 자연어 처리 경험자
• Pretrained Language Model 기반의 자연어 처리 경험자
• 머신러닝 관련 논문 작성 경험자
• AI서비스 개발 참여 경험자
• MLOps 및 모델 배포 경험자 (API 개발, 모델 모니터링)",,2026.01.20,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=336056&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
6, LLM 개발 | 멀티모달 aI,코웨이,IT개발(Back-end) 6~10년,코웨이/ IT개발(Back-end),"• B2B/B2C 플랫폼 서비스 구축/운영
• DX(Digital Transformation) 업무 시스템 구축/운영
• AX(AI Transformation) 업무 시스템 구축/운영
• 국내/외 신사업 프로젝트 지원
• AWS/GCP 등 퍼블릭 클라우드 활용하여 서비스 구축/운영","• 6년~10년 Back-end Java 개발 경험자
• Spring-boot 프레임워크 기반 개발 경험자
• REST API 기능 명세서 작성 경험자
• 웹/앱 등 다양한 클라이언트 대상 Back-end 시스템 운영 경험자
• 외부 솔루션 연동 경험자","• Kotlin 개발 경험자
• Git 형상관리 활용 경험자
• 개발 구성원 간 코드리뷰 및 리팩토링 경험자
• AWS/GCP 등 퍼블릭 클라우드 서비스 활용 경험자
• Docker/K8S 활용 경험자
• RDB(MySQL, PostgreSQL 등) 활용 경험자
• 3인 이상 개발인력 참여 과업의 개발 리더 역할 경험자
• 상용 LLM(Gemini, OpenAI, Claude 등) API 연동 및 서비스 적용 경험자",,2026.02.06,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=340700&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
7, LLM 개발 | 멀티모달 aI,㈜지뉴소프트,[지뉴소프트/연구소] AI 연구원 채용 (병역특례/전문연구요원 가능),,"담당업무
· 멀티모달 비전 파운데이션 모델 개발
- 초분광(HSI), 다분광(MSI), RGB 등 다양한 센서 기반의 영상 데이터를 통합하여, 다양한 영상처리 태스크를 효율적으로 수행
할 수 있는 범용 비전 파운데이션 모델을 개발
- 다양한 산업 분야에서의 실질적 가치 창출을 목표로, 파운데이션 모델 기반의 응용 분야별 모델 설계, 최적화 및 효율적인 파인
튜닝 기법 적용
- 사업화 가능 수준의 대규모 AI 모델 경량화 기술 연구 및 고도화
· 멀티모달 이미지-언어 통합 모델(VLM) 개발
- 초분광(HSI)·다분광(MSI)-RGB 등의 다양한 영상 분야에서 전문가 수준의 전문지식과 문제해결 능력을 갖춘 언어모델 구축
- 비전 파운데이션 모델과 멀티모달 언어모델을 결합하여 입력 영상을 대상으로 자연어 기반 질의응답 및 복합 추론이 가능한 통
합 모델 개발
· 초분광 영상 정밀분석 도구 및 플랫폼 서비스 구축
- 분광 특성을 이해하고 활용하는 스펙트럼 정밀분석 및 저작도구 솔루션 개발
-파운데이션 모델 및 VLM을 융합한 멀티모달 분석 상용 서비스 구축
-LLM, RAG, MCP 등 최신 AI 기술을 융합하여 손쉽게 활용 가능한 지능형 시스템 구축","·학력: 석사이상
·경력: 신입/경력
·최신 AI 기술에 대한 탄탄한 이해가 있는 분","우대사항
·석·박사학위 소유자
·초분광 다분광 분야의 전문지식 보유자
·국제 학술 대회 논문 1저자 또는 AI 분야 논문 게재 경험자
·공개 벤치마크에서 SOTA 성능을 상위 달성 경험 보유자

·국제 AI 경진대회 상위 입상 경력 보유자","스킬
· Python, Pytorch, Git, Docker
· 멀티모달 비전/파운데이션 모델(ViT/Transformer 등)
· RGB·초분광(HSI)·다분광(MSI) 데이터 처리/전처리 및 스펙트럴-공간 모델링
·VLM (이미지-언어 모델), 멀티모달 Q&A/추론
· 대규모 학습/분산학습 및 최적화(AMP, DDP/FSDP/DeepSpeed)
· 모델 경량화/추론 최적화(Quantization/Distillation, ONNX/TensorRT 등)",2026.01.05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=50167723&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun
8, LLM 개발 | 멀티모달 aI,(주)파운트,[핀테크/AI/정규] AI / LLM 엔지니어 (미들급),,"·LangGraph 기반 멀티 에이전트 시스템 설계 및 구현
· GPT-4/5, Claude, Gemini 등 LLM모델 통합 및 최적화
DB, Hybrid Search, Reranking)
· RAG 시스템 개발(Vector
· 금융 도메인 특화 AI Agent 개발 (가격분석, 뉴스 분석 재무제표 분석)
-
· Prompt Engineering 및 Chain-of-Thought 최적화
· LLM 성능 모니터링 및 비용 최적화
· SSE 기반 실시간 스트리밍 응답 구현","· 경력 5년 이상 ~ 15년 이하
· 학력무관
· Python 3+ 실무 경험3년 이상
·LangChain/LangGraph 프레임워크 사용 경험
· OpenAl API, Anthropic API, Google Vertex AI 중 2개 이상 사용 경험
· Async/Await 비동기 프로그래밍 능숙
· Prompt Engineering 및 LLM Fine-tuning 경험
· RESTful API 설계 및 구현 경험
· Git을 통한 협업 경험","·LangSmith, LangFuse 등LLM Observability도구 사용 경험
·Vector Database (Pinecone, Weaviate, pgvector)사용 경험
· RAG 시스템구축 경험
· AI Agent Framework (AutoGPT, BabyAGI, CrewAl 등) 개발 경험
· FastAPI, SQLAlchemy 경험
·금융 도메인 지식 (주식, ETF 재무제표 등)
,
·논문 구현 또는 오픈소스 기여 경험",,2026.01.06,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=52744294&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
9, LLM 개발 | 멀티모달 aI,(주)씨피에스테크,LLM / Generative AI 엔지니어 (도메인 특화 AI 개발)," 회사 소개

(주)씨피에스테크는 전자파 적합성(EMC) 및 전파·전자파 엔지니어링 분야에서

AI 기반 설계·시험·검증 자동화 솔루션을 개발하는 버티컬 AI 스타트업입니다.

 

현대자동차, LG전자, LG이노텍, LG마그나 등 국내외 유수 기업과 협력하며 빠르게 성장하고 있으며,

전파·전자파 표준 문서, 시험 데이터, 측정 결과 등 복잡한 엔지니어링 정보를 AI로 이해·활용하고,

EMC를 고려한 제품 설계·시험 자동화 플랫폼으로 확장하는 기술을 개발하고 있습니다.

주요 고객사: 현대자동차, LG전자, LG이노텍, LG마그나, 국립전파연구원 등

- 청년창업사관학교 13기 졸업 (2023년)

- 산업통상자원부 소재부품기술개발 사업 선정 (2024년, 주관기관: LG전자 / 총 4.5년 과제)
- 신용보증기금 혁신스타트업 성장지원 프로그램 ‘퍼스트펭귄 보증’ 선정 (2024년)
- 국립전파연구원과 전파 분야 특화 LLM 공동개발 계약 (2025년)
- 시리즈A 투자 유치 예정 (2026년)

2. 포지션 소개

당사는 전파·전자파 표준 문서, 시험 데이터, 측정 결과 등 
복잡하고 비정형적인 엔지니어링 정보를 
LLM을 활용해 질의응답·비교·요약이 가능한 지식 형태로 재구성하는 
도메인 특화 AI 제품 EMChat을 개발하고 있습니다.
본 포지션은 특정 EMC 경험보다는,
복잡한 기술 도메인을 이해하고 LLM 기반 AI로 문제를 재정의할 수 있는 엔지니어를 찾습니다.","- EMChat AI 기술 로드맵 수립 및 제품 아키텍처 설계

- Foundation Model 기반 Fine-tuning 및 도메인 특화 적용

- 전파·전자파(EMC 포함) 표준 문서 기반 RAG 파이프라인 설계·고도화

- Chunking 전략 수립 및 Vector DB 구축

- Cross-Encoder / Reranker 모델 설계 및 성능 개선

- 기술 문서 Q&A / 비교 / 요약 / 번역 품질 개선

- LLM 평가 지표 정의 및 실제 사용자 품질 개선 사이클 운영

 

• 책임연구원/수석연구원/연구소장 직급으로 함께할 예정이에요.G20","• 경력 2년 이상

• 대학교졸업(4년)이상

• 머신러닝 / 딥러닝 실무 경력 2년 이상

• Transformer / LLM 기반 모델 개발 경험

• Python 및 PyTorch 숙련자

• 비정형 기술 문서 또는 복잡한 도메인 데이터를 다뤄본 경험

• AI 모델을 실제 서비스 또는 제품에 적용해 본 경험

• 엔지니어링 문제를 구조화하여 해결할 수 있는 역량","• AI 관련 석·박사 학위 소지자

• RAG, Retrieval, Re-ranking 구조 실무 경험

• 멀티모달(텍스트+이미지/표 등) 확장 경험

• 시니어 또는 리드급으로 프로젝트 리딩 경험

• 원활한 커뮤니케이션 역량을 보유한 분",,2026.01.18,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=52854365&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
10, LLM 개발 | 멀티모달 aI,(주)씨피에스테크,Multimodal AI 엔지니어 (VLM/LMM 개발),,"- 기술 문서 내 이미지, 그래프, 도면, 표 이해를 위한 멀티모달 AI 모델 개발

- OCR + Vision + LLM을 결합한 문서 이해 파이프라인 설계

- 이미지·그래프 기반 정보 추출 및 텍스트 의미 연결

- 문서 질의응답(QA), 요약, 비교를 위한 멀티모달 입력 처리 구조 설계

- 멀티모달 모델 성능 평가 지표 정의 및 품질 개선 사이클 운영

• 책임연구원/수석연구원/연구소장 직급으로 함께할 예정이에요.","• 경력 2년 이상

• 대학교졸업(4년)이상

• 머신러닝 / 딥러닝 실무 경력 3년 이상

• Vision 또는 Multimodal 모델 개발 경험

• Python 및 PyTorch 숙련

• OCR, 문서 분석 또는 비정형 데이터 처리 경험

• AI 모델을 실제 서비스 또는 제품에 적용해 본 경험

• 복잡한 문제를 구조화하여 해결할 수 있는 엔지니어링 역량","•  AI 관련 석·박사 학위 소지자

• Vision + LLM 결합 구조에 대한 이해 또는 실무 경험

• 멀티모달 QA, 문서 기반 RAG 시스템 경험

• 이미지·그래프 기반 정보 추출 및 정합성 처리 경험

• 시니어 또는 리드급으로 프로젝트 리딩 경험

• 원활한 커뮤니케이션 역량을 보유한 분",,2026.01.18,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=52854382&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
